"","Kortnamn","Beskrivning","Kod"
"3308","U. Patienter som är helt eller ganska bra 6 månader efter septumplastik, andel (%)","Andel patienter som är helt eller ganska bra 6 månader efter septumplastik. Sex månader efter åtgärden skickas en enkät ut och frågar patienterna hur de själva bedömer resultatet, d.v.s. deras nöjdhetsgrad. Uppgiften avser år T-3 till mars år T. Svenskt K","U72436"
"3309","U. Protesopererade patienter 65 år och äldre vid cervikal höftfraktur, andel (%)","Andel protesopererade patienter 65 år och äldre vid cervikal höftfraktur. Förstagångsfall av cervikal höftfraktur (brott på lårbenshalsen) där frakturen var huvuddiagnos och patienten var 65 år eller äldre ingår i beräkningarna. Bland dessa ingåri analyse","U72437"
"3310","U. Reoperationer inom 30 dagar efter primäroperation av ändtarmscancer , andel (%)","Antal reoperationer under under 5-årsperiod som utförts inom 30 dagar efter primäroperatione dividerat med totala antalet primäroperationer av ändtarmscancer under perioden som rapporterats. Nationella kvalitetsregistret för cancer recti-kirurgi.","U72438"
"3311","U. Patienter som opereras med miniinvasiv teknik vid borttagande av gallblåsa, andel (%)","Andel (%) som opereras med miniinvasiv teknik vid borttagande av gallblåsa. Täljare: Antal patienter som opereras med laparoskopisk teknik eller minigalla vid borttagande av gallblåsa. Nämnare: Samtliga patienter som opererat bort gallblåsan. Källa Sven","U72439"
"3312","U. Strokepatienter med förmaksflimmer som får blodförtunnande behandling, andel (%)","Andel (%) strokepatienter med förmaksflimmer, 5579 år som har fått blodförtunnande behandling. Täljare: Antal strokepatienter, 5579 år, med förmaksflimmer som hämtat ut blodförtunnande medel 1218 månader efter utskrivning från sjukhus. Nämnare: Samtlig","U72448"
"3313","U. Strokepatienter med trombolysbehandling, andel (%)","Måttet visar andelen av patienter med stroke som gavs trombolysbehandling, av de patienter som ingår i målgruppen för denna behandling. Ingår gör patienter med strokediagnos I63 (ischemisk stroke), ålder 1880 och som var ADL-oberoende vid insjuknandet. T","U72449"
"3314","U. Strokepatienter som vårdats på strokeenhet, andel (%)","Andel strokepatienter som vårdats på en strokeenhet som uppfyller kriterierna enligt Nationella riktlinjer för strokevård, av samtliga registrerade patienter med stroke. Riks-Stroke. Osäkra data pga låg täckningsgrad.","U72450"
"3315","U. Strokepatienter som är nöjda med vården vid sjukhuset, andel (%)","Andel strokepatienter som var nöjda med vården vid sjukhuset, Enkät efter tre månader efter insjuknandet. Riks-Stroke","U72451"
"3316","U. Knäproteser som inte omopereras inom 10 år, andel (%)","Andel knäproteser som inte behöver revideras under perioden år T-9 till år T. Beräkningen görs med Kaplan-Meier statistik, i vilken patienter som avlidit eller emigrerat ingår som riskpatienter. Med revision avses en omoperation där proteskomponent(er) ta","U72452"
"3317","U. Återinskrivningar för strokesjukvård inom 1 år efter stroke, andel (%)","Antal patienter som vid åtminstone ett tillfälle återinskrevs inom 365 dagar för stroke eller sena effekter av stroke som huvuddiagnos under 5-årsperiod (år T-4 till år T) dividerat med antal skattade förstagångsvårdtillfällen med stroke som huvuddiagnos.","U72453"
"3318","U. Artroskopier i knäled vid artros eller meniskskada, antal/100 000 inv","Antalet artroskopier med huvuddiagnos knäartros eller vissa andra sjukliga förändringar i knäled per 100 000 invånare. I beräkningarna har korrigeringar gjorts för skillnader i befolkningens åldersstruktur mellan olika landsting. Åldersstandardiserade ant","U72454"
"3319","U. Döda inom 28 dygn, antal/1000 levande födda","Antalet barn som avlidit inom 28 dygn efter förlossningen per 1000 levande födda under samma period. Åldersstandardisering har gjorts med samtliga förlösta kvinnor under samma period som standardpopulation. Avser sammantaget värde för ett femårsintervall ","U72456"
"3320","U. Dödfödda, antal/1000 födda","Antal dödfödda per 1 000 levande födda per 1 000 levande födda samma period. Dödföddhet definieras som framfödande av ett barn utan livstecken efter 28:e graviditetsveckan. Avser sammantaget värde för ett femårsintervall (år T-4 till år T). Medicinska föd","U72457"
"3321","U. Clopidogrelbeh. vid icke ST-höjningsinfarkt, andel (%)","Andel patienter med icke ST-höjningsinfarkt som erhöll behandling med clopidogrel (Clopidogrel minskar risken för återinsjuknande) vid utskrivningen. Från och med 2007 års data är det patientens hemortslän som avgör till vilket landsting patienten hänförs","U72462"
"3322","U. 28-dagars dödlighet efter hjärtinfarkt bland sjukhusvårdade, andel (%)","Andelen av samtliga fall av akut hjärtinfarkt som avled inom 28 dagar efter infarkten. Antalet förstagångsfall som avled inom 28 dagar efter infarkten dividerat med samtliga fall av hjärtinfarkt under en 3-årsperiod (år T-2 till år T). %, Patientregistret","U72463"
"3323","U. Dödlighet efter vård på IVA, SMR","Riskjusterad dödlighet 30 dagar efter ankomst till intensivvårdsavdelningen. Dödligheten har beräknats genom Standardiserad Mortalitets Ratio(SMR). Med SMR avses kvoten mellan den observerade mortaliteten = 30 dagar efter ankomsten till intensivvårdsavdel","U72464"
"3324","U. Höftledsplastik, förbättring i EQ-index efter operation, enheter","Total höftledsplastik  patientskattat resultat av operation med hjälp av ett formulär som sändes till patienten ett år efter operation.  Förbättring enligt EQ-5D-index (viktat hälsoindex) från motsvarande frågor före operationen. Avser operationer gjorda","U72465"
"3325","U. Kranskärlsröntgen vid icke ST-höjningsinfarkt, andel (%)","Andel patienter med icke ST-höjningsinfarkt som kranskärlsröntgades av samtliga med icke ST-höjningsinfarkt. Från och med 2007 års data är det patientens hemortslän som avgör till vilket landsting patienten hänförs, inte som tidigare sjukhusets lokaliseri","U72466"
"3326","U. Väntetid till bypass-operation, antal dagar (median)","Bypass-operation  medianväntetid mellan beslut om operation och utförd bypass-operation av alla patienter, både de som opereras akut och de som väntat länge på operation. Indikatorn ändrades fr.o.m 2007 års data. Tidigare avsågs all planerad hjärtkirurgi","U72467"
"3327","U. Oönskade händelser efter borttagande av livmoder, andel (%)","Andel (%) oönskade händelser efter borttagande av livmoder. Kvinnor som genomgått hysterektomi på benign indikation ingår. Täljare: Kvinnor som genomgått hysterektomi och som inom 7 respektive 28 dagar, beroende på diagnos, återinskrivs. Nämnare: Samtliga","U72468"
"3328","U. Oönskade händelser inom 30 dagar efter knä- eller höftprotesoperation, andel (%)","Oönskade händelser inom 30 dagar efter knä- eller höftprotesoperation. Samtliga patienter som genomgått en knä- eller total höftprotesoperation ingår. Patienterna följs upp med avseende på kirurgiska, knä- och höftprotesspecifika komplikationer. Avser år ","U72469"
"3329","U. Patienter med biologiska läkemedel vid reumatoid artrit, antal/100 000 inv","Antal patienter med biologiska läkemedel vid reumatoid artrit per 100 000 invånare. Med biologiska läkemedel avses TNFalfa-hämmare. Antal patienter avser de med diagnosen reumatoid artrit som vid årsskiftet behandlades med biologiska läkemedel. Endast bef","U72470"
"3330","U. Patientrapporterat resultat vid reumatoid artrit, andel (%)","Patientrapporterad förbättring av allmän hälsa 6 månader efter behandlingsstart vid insjuknande i reumatoid artrit. Mätning av patientupplevd hälsa med VAS-skala görs vid första besöket då diagnosen ställs och vid återbesök 6 månader senare. För att juste","U72471"
"3331","U. 1-årsöverlevnad för patienter som diagnostiserats med lungcancer, andel (%)","1-årsöverlevnad för patienter som diagnostiserats med lungcancer, %. Avser patienter diagnosticerade mellan åren T-6 till år T med uppföljning t.o.m. december år T. Källa Socialstyrelsen Cancerregistret","U72473"
"3332","U. Väntat högst 90 dagar på operation i specialiserad vård, andel (%)","Andelen av det totala antalet väntande patienter som väntat längre än 90 dagar på specialistbehandling. Väntetider i Vården, Sveriges Kommuner och Landsting","U72474"
"3333","U. Syn under 0,5 på bästa ögat efter kataraktoperation, andel (%)","Kataraktoperation  andel av alla kataraktopererade patienter som hade en synskärpa under 0,5 på bästa ögat vid tidpunkt för operation. Måttet visar hur dålig syn man behöver för att komma ifråga för operation. Nationella Kataraktregistret","U72475"
"3334","U. Tid till behandlingsbeslut vid huvud- och halscancer, antal dagar","Tid mellan ankomst av remiss och behandlingsstart för patienter med ÖNH-tumör. Med ÖNH-tumör avses elakartad tumör i öron, näsa eller hals. Måttet belyser genomsnittstiden i dagar från det att remiss ankommer till dess att behandlingstyp är bestämd. Lands","U72476"
"3335","U. Väntetid till operation efter ankomst till sjukhus vid höftfraktur, timmar/patient (medelvärde)","Höftfrakturpatienters väntetid avser hur lång tid det tar från det patienten kommer till sjukhus till dess att operation utförs. Medelväntetid i timmar beräknad på alla patienter. Redovisningen i tid ändrades fr.o.m 2007 års data från dagar till timmar va","U72477"
"3336","U. Återinläggning på IVA, andel (%)","Andel patienter som oplanerat återinskrivits på samma intensivvårdavdelning inom 72 timmar. Svenska Intensivvårdsregistret (SIR)","U72478"
"3337","U. Kvinnor som röker eller snusar vid 30-32 veckors graviditet, andel (%)","Andel (%) kvinnor som rökte eller snusade vid 30-32 veckors graviditet. Avser år T-1 till år T. Åldersstandardiserade värden. Källa: Medicinska födelseregistret, Socialstyrelsen","U72479"
"3338","U. Kvinnor utan komplikationer och oväntade besvär efter borttagande av livmoder, andel (%)","Andel (%) kvinnor som uppger att de är komplikationsfria och utan oväntade besvär efter borttagande av livmoder. Källa: Nationella kvalitetsregistret inom gynekologisk kirurgi","U72480"
"3339","U. Kvinnor utan komplikationer och oväntade besvär efter operation för livmoderframfall, andel (%)","Andel (%) kvinnor som uppger att de är komplikationsfria och utan oväntade besvär efter operation för livmoderframfall. Källa: Nationella kvalitetsregistret inom gynekologisk kirurgi","U72481"
"3340","U. Patienter som får ny hjärtinfarkt eller avlider i ischemisk hjärtsjukdom inom 365 dagar, andel (%)","Patienter som får ny hjärtinfarkt eller avlider i ischemisk hjärtsjukdom inom 365 dagar, andel (%). Åldersstandardiserade värden. Källa: Patientregistret och Dödsorsaksregistret, Socialstyrelsen","U72483"
"3341","U. Värmeförbrukning (graddagskorrigerad) lokaler (sjukhus), kWh/kvm","Värmeförbrukning per lokalyta. Graddagskorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser samtliga sjukhus. Källa Egna uppgifter i landstinget","U72484"
"3342","U. Värmeförbrukning (värmeindexkorrigerad) lokaler (sjukhus), kWh/kvm","Värmeförbrukning per lokalyta. Värmeindexkorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser samtliga sjukhus. Källa Egna uppgifter i landstinget","U72485"
"3343","U. Värmeförbrukning (ej korrigerad) lokaler (sjukhus), kWh/kvm","Värme per lokalyta. Avser icke graddagskorrigerad eller värmeindexkorrigerad värmeförbrukning. Redovisas som antal kilowattimmar per kvadratmeter. Avser samtliga sjukhus. Källa Egna uppgifter i landstinget","U72486"
"3344","U. Elförbrukning lokaler (sjukhus), kWh/kvm","Elförbrukning per lokalarea. Uppgifter från inrapportering till Offentliga fastigheter. Redovisas som antal kilowattimmar per kvadratmeter. Avser samtliga sjukhus. Källa Egna uppgifter i landstinget","U72487"
"3345","U. Vattenförbrukning lokaler (sjukhus), kbm/kvm","Vattenförbrukning per lokalarea. Redovisas som kubikmeter vatten per kvadratmeter. Avser samtliga sjukhus. Källa Egna uppgifter i landstinget","U72488"
"3346","U. Värmeförbrukning (graddagskorrigerad) lokaler (sjukhus kategori 1), kWh/kvm","Värmeförbrukning per lokalyta. Graddagskorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 1. Källa Egna uppgifter i landstinget","U72489"
"3347","U. Värmeförbrukning (värmeindexkorrigerad) lokaler (sjukhus kategori 1), kWh/kvm","Värmeförbrukning per lokalyta. Värmeindexkorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 1. Källa Egna uppgifter i landstinget","U72490"
"3348","U. Värmeförbrukning (ej korrigerad) lokaler (sjukhus kategori 1), kWh/kvm","Värme per lokalyta. Avser icke graddagskorrigerad eller värmeindexkorrigerad värmeförbrukning. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 1. Källa Egna uppgifter i landstinget","U72491"
"3349","U. Elförbrukning lokaler (sjukhus kategori 1), kWh/kvm","Elförbrukning per lokalarea. Uppgifter från inrapportering till Offentliga fastigheter. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 1. Källa Egna uppgifter i landstinget","U72492"
"3350","U. Vattenförbrukning lokaler (sjukhus kategori 1), kbm/kvm","Vattenförbrukning per lokalarea. Redovisas som kubikmeter vatten per kvadratmeter. Avser sjukhus kategori 1. Källa Egna uppgifter i landstinget","U72493"
"3351","U. Värmeförbrukning (graddagskorrigerad) lokaler (sjukhus kategori 2), kWh/kvm","Värmeförbrukning per lokalyta. Graddagskorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 2. Källa Egna uppgifter i landstinget","U72494"
"3352","U. Värmeförbrukning (värmeindexkorrigerad) lokaler (sjukhus kategori 2), kWh/kvm","Värmeförbrukning per lokalyta. Värmeindexkorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 2. Källa Egna uppgifter i landstinget","U72495"
"3353","U. Värmeförbrukning (ej korrigerad) lokaler (sjukhus kategori 2), kWh/kvm","Värme per lokalyta. Avser icke graddagskorrigerad eller värmeindexkorrigerad värmeförbrukning. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 2. Källa Egna uppgifter i landstinget","U72496"
"3354","U. Elförbrukning lokaler (sjukhus kategori 2), kWh/kvm","Elförbrukning per lokalarea. Uppgifter från inrapportering till Offentliga fastigheter. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 2. Källa Egna uppgifter i landstinget","U72497"
"3355","U. Vattenförbrukning lokaler (sjukhus kategori 2), kbm/kvm","Vattenförbrukning per lokalarea. Redovisas som kubikmeter vatten per kvadratmeter. Avser sjukhus kategori 2. Källa Egna uppgifter i landstinget","U72498"
"3356","U. Värmeförbrukning (graddagskorrigerad) lokaler (sjukhus kategori 3), kWh/kvm","Värmeförbrukning per lokalyta. Graddagskorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 3. Källa Egna uppgifter i landstinget","U72499"
"3357","U. Värmeförbrukning (värmeindexkorrigerad) lokaler (sjukhus kategori 3), kWh/kvm","Värmeförbrukning per lokalyta. Värmeindexkorrigerat enligt SMHI:s anvisningar. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 3. Källa Egna uppgifter i landstinget","U72500"
"3358","U. Värmeförbrukning (ej korrigerad) lokaler (sjukhus kategori 3), kWh/kvm","Värme per lokalyta. Avser icke graddagskorrigerad eller värmeindexkorrigerad värmeförbrukning. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 3. Källa Egna uppgifter i landstinget","U72501"
"3359","U. Elförbrukning lokaler (sjukhus kategori 3), kWh/kvm","Elförbrukning per lokalarea. Uppgifter från inrapportering till Offentliga fastigheter. Redovisas som antal kilowattimmar per kvadratmeter. Avser sjukhus kategori 3. Källa Egna uppgifter i landstinget","U72502"
"3360","U. Vattenförbrukning lokaler (sjukhus kategori 3), kbm/kvm","Vattenförbrukning per lokalarea. Redovisas som kubikmeter vatten per kvadratmeter. Avser sjukhus kategori 3. Källa Egna uppgifter i landstinget","U72503"
"3361","U. Personer som kände att de blev väl bemötta vid besök i spec. somatisk vård, andel (%)","Antal individer i ett urval av befolkningen som svarat ""Ja, helt och hållet"" på frågan ""Kände du att du blev bemött med respekt och på ett hänsynsfullt sätt?"" dividerat med antal svarande i befolkningsurvalet det aktuella året. Avser specialiserad somatis","U72504"
"3362","U. Personer som kände att de fick tillräckligt med information om sitt tillstånd vid besök i spec. somatisk vård, andel (%)","Antal individer i ett urval av befolkningen som svarat ""Ja, helt och hållet"" på frågan ""Fick du tillräcklig information om ditt tillstånd?"" dividerat med antal svarande i befolkningsurvalet det aktuella året. Avser specialiserad somatisk vård. Källa Natio","U72505"
"3363","U. Personer som kände sig delaktiga i sitt beslut om vård och behandling vid besök i spec. somatisk vård, andel (%)","Antal individer i ett urval av befolkningen som svarat ""Ja, helt och hållet"" på frågan ""Kände du dig delaktig i beslut om din vård och behandling, så mycket som du önskade?"" dividerat med antal svarande i befolkningsurvalet det aktuella året. Avser specia","U72506"
"3364","U. Personer som kände att de blev bemötta med respekt på ett hänsynsfullt sätt vid inläggning på sjukhus, andel (%)","Antal individer i ett urval av befolkningen som svarat ""Ja, helt och hållet"" på frågan ""Kände du att du blev bemött med respekt och på ett hänsynsfullt sätt?"" dividerat med antal svarande i befolkningsurvalet det aktuella året. Källa Nationell Patientenkä","U72507"
"3365","U. Personer som kände att de fick tillräckligt med information om sitt tillstånd  vid inläggning på sjukhus, andel (%)","Antal individer i ett urval av befolkningen som svarat ""Ja, helt och hållet"" på frågan ""Fick du tillräcklig information om ditt tillstånd?"" dividerat med antal svarande i befolkningsurvalet det aktuella året. Källa Nationell Patientenkät samt Sveriges Kom","U72508"
"3366","U. Personer som kände sig delaktiga i sitt beslut om vård och behandling  vid inläggning på sjukhus, andel (%)","Antal individer i ett urval av befolkningen som svarat ""Ja, helt och hållet"" på frågan ""Kände du dig delaktig i beslut om din vård och behandling, så mycket som du önskade?"" dividerat med antal svarande i befolkningsurvalet det aktuella året. Källa Nation","U72509"
"3367","U. Kvinnor som screenats för riskbruk av alkohol under graviditet, andel (%)","Antal kvinnor som screenats med AUDIT-formulär (AUDIT = Alcohol Use Disorders Identification Test) vid inskrivningssamtalet dividerat med antal kvinnor som har ett inskrivningsbesök registrerat under året. Källa Nationellt kvalitetsregister: Mödrahälsovår","U72510"
"3368","U. Kvinnor som uppger att de är nöjda eller mycket nöjda med operationsresultatet efter hysterektomi, andel (%)","Täljare: Antal patienter av de definierade i nämnaren som angivit sig vara mycket nöjda eller nöjda med resultatet 1 år efter operationen Nämnare: Samtliga patienter som genomgått hysterektomi på benigna indikationer och som svarat på 1-årsuppföljningen u","U72511"
"3369","U. Kvinnor som uppger att de var komplikationsfria och helt utan oväntade besvär efter operation för livmoderframfall, andel (%)","Antal patienter som uppgett avsaknad av komplikation eller oväntade besvär samt de som uppgett lindriga besvär men som ej föranlett vårdkontakt dividerat med antal patienter som opererats för livmoderframfall. Källa Nationella kvalitetsregistret inom gyne","U72512"
"3370","U. Kvinnor som uppgav att de var komplikationsfria och utan oväntade besvär efter inkontinensoperation, andel (%)","Antal patienter som postoperativt inte haft oförväntade besvär/komplikation som föranlett sjukvårdsbesök (enkelt uttryckt komplikationsfria) dividerat med antalet opererade med någon typ av inkontinensoperation under året. Källa Nationella kvalitetsregist","U72513"
"3371","U. Kvinnor som uppgav att de var kontinenta efter inkontinensoperation, andel (%)","Antal patienter kontinenta ett år efter operation (patientrapporterat) dividerat med antalet inkontinensopererade med egenupplevt läckage. Kontinens definieras enligt internationella kriterier (International Continence Society, ICS) som ofrivilligt urinlä","U72514"
"3372","U. Patienttillfredsställelse efter total höftprotesoperation, andel (%)","I Svenska Höftprotesregistrets rutin med patientrapporterat utfall ingår en fråga beskrivning om  patienttillfredsställelse. Frågan kan betraktas som en sjukdomsspecifik utfallsfråga då patienten på en skala, VAS, skall ange hur nöjda de är med operations","U72515"
"3373","U. Patienter med halvprotes som inte omopereras inom 1 år efter höftprotesoperation, andel (%)","Den s.k. Kaplan-Meier metoden har används för beräkning av ""protesöverlevnad"", i vilken patienter som  avlidit eller emigrerat ingår som riskpatienter. Med revision avses en omoperation där proteskomponent(er) tagits bort, lagts till eller bytts ut. Defin","U72516"
"3374","U. Patienter som är åter till ursprungligt boende 4 månader efter operation av höftfraktur, andel (%)","Antal patienter som återgår till ursprungsboende inom 4 månader dividerat med antal patienter 50 år och äldre som opereras och blir uppföljda efter 4 månader. Källa Nationellt kvalitetsregister: RIKSHÖFT - Svenska Höftfrakturregistret","U72517"
"3375","U. Patientrapporterad förbättring 1 år efter operation av spinal stenos, andel (%)","Antal patienter som skattar sin bensmärta som ""Helt försvunnen"" eller ""Mycket bättre"" ett år efter operationen dividerat med antal patienter som besvarat frågan. Källa Nationellt kvalitetsregister: SWESPINE  Svenska ryggregistret","U72518"
"3376","U. Patientrapporterad förbättring 1 år efter operation av diskbråck, andel (%)","Antal patienter som skattar sin bensmärta som ""Helt försvunnen"" eller ""Mycket bättre"" ett år efter operationen dividerat med antal patienter som besvarat frågan. Källa Nationellt kvalitetsregister: SWESPINE  Svenska ryggregistret","U72519"
"3377","U. Utbytesoperationer efter främre korsbandsoperation, andel (%)","Antal patienter som reviderats efter en primär korsbandsoperation under mätperioden dividerat med primära operationer under mätperioden. Alla patienter som registrerats i Svenska Korsbandsregistret ingår. Inga selekteringar har utförts. Mätperioden avser ","U72520"
"3378","U. Förbättring av sjukdomsaktivitet 4-12 mån. efter behandlingsstart av första biologiska läkemdel vid reumatoid artrit, andel (%)","Differens mellan DAS28 vid BIObehandlingsstart och median DAS28 4-12 månader efter dividerat med DAS28 vid BIObehandlingsstart. Effekt mäts som procentuell förändring av DAS28, Disease Activity Score, där fyra variabler ingår: andelen svullna respektive ö","U72521"
"3379","U. Personer med hjärtstopp utanför sjukhus som var vid liv 30 dagar efter hjärtstoppet, andel (%)","Antal överlevande 30 dagar efter hjärtstopp där HLR (hjärt-lungräddning) startats dividerat med samtliga hjärtstopp utanför sjukhus där HLR har startats. Källa Nationellt kvalitetsregister: Nationellt Register för Hjärtstopp","U72522"
"3380","U. Patienter som reperfusionsbehandlas i målsatt tid vid ST-höjningsinfarkt, andel (%)","Antal patienter 79 år och yngre som reperfusionsbehandlats inom målsatt tid dividerat med antal patienter 79 år och yngre som reperfusionsbehandlats. Källa: Nationellt kvalitetsregister: RIKS-HIA  del i SWEDHEART","U72523"
"3381","U. Patienter som når mål för sekundärprevention 12-14 mån. efter hjärtinfarkt, andel (%)","Antal patienter med samtliga fyra delmål för sekundär prevention uppfyllda dividerat med antal patienter med hjärtinfarkt registrerade i SWEDEHEART/SEPHIA. De fyra delmålen är deltagande i fysiskt träningsprogram, rökfrihet, systoliskt blodtryck<140 mmHg,","U72524"
"3382","U. Döda inom ett år efter PCI-behandling vid instabil kranskärlssjukdom, andel (%)","Antal avlidna inom 1 år efter PCI-behandling dividerat med antal patienter med instabil kranskärlssjukdom (utan ST-höjning) som PCI-behandlats. Källa Nationellt kvalitetsregister: SCAAR  del i SWEDHEART","U72525"
"3383","U. Patienter där återförträngning av hjärtats kärl påvisats vid kontrollundersökning inom 1 år efter PCI-behandling, andel (%)","Antal patienter där återförträngning av hjärtats kärl påvisats vid kontrollundersökning inom 1 år (Kontrollundersökningen har gjorts på grund av återkommande besvär) dividerat med samtliga patienter som PCI-behandlats och var vid liv ett år efter behandli","U72526"
"3384","U. Patienter med hjärtsvikt som diagnostiserades med ekokardiografi, andel (%)","Antal patienter med hjärtsvikt som diagnostiserades med ekokardiografi (ultraljudsundersökning av hjärtat) dividerat med samtliga diagnostiserade patienter med hjärtsvikt. Källa RiksSvikt  Nationellt kvalitetsregister för hjärtsvikt","U72527"
"3385","U. Patienter med sjukhusvårdad hjärtsvikt som under påföljande halvår behandlas med både RAAS-hämmare och betablockerare, andel (%)","Antal hjärtsjukpatienter som behandlas med RAAS-hämmare eller betablock dividerat med samtliga hjärtsjukpatienter. RAAS-hämmare avser ACE-hämmare och angiotensinreceptorblockerare, ARB. Källa Patientregistret, Socialstyrelsen","U72528"
"3386","U. Patienter som får komplikation inom 1 år efter pacemakerbehandling, andel (%)","Antal komplikationer dividerat med antal patienter som behandlats med standardpacemaker (nyimplantat, utbyte eller korrektion). Komplikation definieras som oförutsedd händelse med felfunktion i pacemakersystemet eller en annan för patienten allvarlig händ","U72529"
"3387","U. Strokepatienter som genomgått sväljtest efter ankomst till sjukhus, andel (%)","Antal patienter där sväljförmåga testats eller där sväljförmåga inte testats pga. patientens tillstånd dividerat med samtliga patienter som registrerats i Riks-Stroke under året. Källa Nationella kvalitetsregistret för Stroke, Riks-Stroke","U72530"
"3388","U. Strokepatienter som 12 mån. efter insjuknandet anger att behovet av rehabilitering är tillgodosett, andel (%)","Antal strokepatienter som i en enkät uppgav att deras behov av rehabilitering är tillgodosett dividerat med antal strokepatienter som svarade på enkäten under mätperioden. Källa Nationella kvalitetsregistret för Stroke, Riks-Stroke","U72531"
"3389","U. Nyinsjuknade i aktiv uremivård per år, antal/1 000 000 inv","Antal nyupptagna i aktiv behandling per 5-årsperiod dividerat med medelbefolkning under motsvarande 5-årsperiod. Avser år T-5 till T. Källa Svenskt Njurregister  SNR","U72532"
"3390","U. Dialyspatienter som når mål för blodtryck (<140/90 mmHg), andel (%)","Antal hemodialyspatienter med systoliskt blodtryck <140 mmHg och diastoliskt blodtryck <90 mmHg före dialys dividerat med samtliga hemodialyspatienter med registrerade blodtrycksvärden. Källa Svenskt Njurregister  SNR","U72533"
"3391","U. Patienter som omopereras inom 30 dagar  för tjocktarmscancer, andel (%)","Antal patienter som omopererats inom 30 dagar efter primäroperation för tjocktarmscancer dividerat med antalet patienter som primäropererats med resektion för tjocktarmscancer. Källa Nationella Koloncancerregistret","U72534"
"3392","U. Avlidna inom 90 dagar efter operation för tjocktarmscancer, andel (%)","Antal avlidna patienter inom 90 dagar dividerat med antal patienter som opererats med resektionskirurgi. Källa Nationella Koloncancerregistret","U72535"
"3393","U. Avlidna inom 90 dagar efter operation för ändtarmscancer, andel (%)","Antal avlidna patienter inom 90 dagar dividerat med antal patienter som opererats med resektionskirurgi. Källa Nationella Rektalcancerregistret","U72536"
"3394","U. Kvinnor med bröstcancer som omopereras på grund av tumördata, andel (%)","Antal kvinnor med kompletterande bröstoperation på grund av tumördata efter primäroperation för bröstcancer dividerat med antalet kvinnor som primärt opererades för bröstcancer och för vilka det finns uppgift om kompletterande bröstoperation. Källa Nation","U72537"
"3395","U. Kvinnor med bröstcancer som omopereras inom 30 dagar på grund av komplikation, andel (%)","Antal kvinnor med bröstcancer som omopererats inom 30 dagar på grund av kirurgiska komplikationer dividerat med antalet kvinnor som primärt opererades för bröstcancer och för vilka det finns uppgift om omoperation på grund av kirurgiska komplikationer. Kä","U72538"
"3396","U. Tid från första specialistbesök till operation vid bröstcancer, tid i dagar","Väntetid i dagar från det första besöket hos specialist till operation för bröstcancer. Källa Nationella Bröstcancerregistret","U72539"
"3397","U. Patienter där multidisciplinär konferens görs inför primärbehandling av lungcancer, andel (%)","Antal lungcancerpatienter som bedömts på multidisciplinär konferens dividerat med antalet lungcancerpatienter under mätperioden. Källa Nationellt lungcancerregister","U72540"
"3398","U. Väntetid till specialistklinik till beslut om behandling för lungcancer, tid i dagar","Avser väntetiden från ankomst av remiss till beslut om behandling för lungcancerpatienter. Källa Nationellt lungcancerregister","U72541"
"3399","U. Väntetid till första besöket hos en specialist vid utredning för prostatacancer, tid i dagar","Indikatorn avser väntetid från remissdatum till första besök hos specialist vid utredning för prostatacancer. Källa Nationella Prostatacancerregistret","U72542"
"3400","U. Döda inom 1 år efter vårdtillfälle för blödande magsår, andel (%)","Antal sjukhusvårdade förstagångsfall som avlider inom 365 dagar efter blödande magsår samt antal av dessa som avlidit på sjukhus dividerat med samtliga förstagångsfall av blödande magsår. Avser personer 45-99 år. Källa Patientregistret och dödsorsaksregis","U72543"
"3401","U. Patienter som följs upp efter obesitaskirurgi, andel (%)","Antal fall som registrerats i kvalitetsregistret 1 år efter obesitasoperation dividerat med antal registrerade obesitasoperationer. Källa Nationellt kvalitetsregister: SOReg, Scandinavian Obesity Surgery Register","U72544"
"3402","U. Minskning av övervikt ett år efter obesitaskirurgi, andel (%)","Minskningen av antalet BMI enheter mellan före operationen och 1 år efter dividerat med antalet BMI-enheter över 25 före operationen. Källa Nationellt kvalitetsregister: SOReg, Scandinavian Obesity Surgery Register","U72545"
